codequipo,solicitante,ubicacion,municipio,provincia,lat,lon,tipoInstalacion
2770,Concello de Vilagarcía de Arousa,Casa Consistorial (junto a la Sala de Plenos y las dependencias de la Policía Local),VILAGARCIA DE AROUSA,PONTEVEDRA,42.5972,-8.7647,Administraciones o instituciones públicas
2771,Concello de Vilagarcía de Arousa,Escola de Música (pasillo de aulas),VILAGARCIA DE AROUSA,PONTEVEDRA,42.6,-8.7647,En centros docentes
2772,Concello de Vilagarcía de Arousa,Campo de Fútbol de Berdón,VILAGARCIA DE AROUSA,PONTEVEDRA,42.6061,-8.7494,En instalaciones deportivas
2773,Concello de Vilagarcía de Arousa,Praza de Abastos,VILAGARCIA DE AROUSA,PONTEVEDRA,42.5944,-8.768,Otros
2775,IES Frei Martín Sarmiento,IES Frei Martín Sarmiento (junto a conserjería-planta 0),PONTEVEDRA,PONTEVEDRA,42.4256,-8.6399,En centros docentes
2782,CONCELLO DE PONTEAREAS,PARQUE DE BOMBEIROS PONTEAREAS,PONTEAREAS,PONTEVEDRA,42.1702,-8.5005,Administraciones o instituciones públicas
2783,CONCELLO DE PONTEAREAS,COMPLEXO ÁLVARO PINO PONTEAREAS,PONTEAREAS,PONTEVEDRA,42.1783,-8.5069,Administraciones o instituciones públicas
2784,CONCELLO DE PONTEAREAS,CAMPO MUNICIPAL DE FÚTBOL DE PARDELLAS,PONTEAREAS,PONTEVEDRA,42.1838,-8.5138,Administraciones o instituciones públicas
2785,CONCELLO DE PONTEAREAS,PISCINA MUNICIPAL PONTEAREAS,PONTEAREAS,PONTEVEDRA,42.1777,-8.5077,Administraciones o instituciones públicas
2786,CONCELLO DE PONTEAREAS,MERCADO DE ABASTOS PONTEAREAS,PONTEAREAS,PONTEVEDRA,42.1777,-8.5077,Administraciones o instituciones públicas
2787,CONCELLO DE PONTEAREAS,CAMPO DE FÚTBOL DE ANGOARES PONTEAREAS,PONTEAREAS,PONTEVEDRA,42.1633,-8.5122,Administraciones o instituciones públicas
2788,Concello de TOMIÑO,CAMPO DE FÚTBOL A CARBALLA,TOMIÑO,PONTEVEDRA,41.9894,-8.7302,Administraciones o instituciones públicas
